,Time,Event,Part,Process,SubProcess,Resource
0,0.0,part_created,U611 E11C,Source,,
1,0.0,part_transferred_to_first_process,U611 E11C,Source,,
2,0.0,part_created,U611 E12C,Source,,
3,0.0,part_transferred_to_first_process,U611 E12C,Source,,
4,0.0,Process_entered,U611 E11C,HF010,,
5,0.0,routing_ended,U611 E11C,HF010,,
6,0.0,Process_entered,U611 E12C,HF010,,
7,0.0,routing_ended,U611 E12C,HF010,,
8,0.0,work_start,U611 E11C,HF010,HF010_0,
9,1.0,work_finish,U611 E11C,HF010,HF010_0,
10,1.0,part_transferred_to_out_buffer,U611 E11C,HF010,HF010_0,
11,1.0,work_start,U611 E12C,HF010,HF010_0,
12,1.0,tp_request,,HF010,,
13,1.0,tp_going_to_requesting_process,,,,TP_1
14,1.0,tp_going_to_next_process,U611 E11C,HF010,,TP_1
15,2.0,work_finish,U611 E12C,HF010,HF010_0,
16,2.0,part_transferred_to_out_buffer,U611 E12C,HF010,HF010_0,
17,9.0,part_created,U611 E31S,Source,,
18,9.0,part_transferred_to_first_process,U611 E31S,Source,,
19,9.0,part_created,U611 E31P,Source,,
20,9.0,part_transferred_to_first_process,U611 E31P,Source,,
21,9.0,Process_entered,U611 E31S,HF010,,
22,9.0,routing_ended,U611 E31S,HF010,,
23,9.0,Process_entered,U611 E31P,HF010,,
24,9.0,routing_ended,U611 E31P,HF010,,
25,9.0,work_start,U611 E31S,HF010,HF010_0,
26,10.0,work_finish,U611 E31S,HF010,HF010_0,
27,10.0,part_transferred_to_out_buffer,U611 E31S,HF010,HF010_0,
28,10.0,work_start,U611 E31P,HF010,HF010_0,
29,11.0,work_finish,U611 E31P,HF010,HF010_0,
30,11.0,part_transferred_to_out_buffer,U611 E31P,HF010,HF010_0,
31,14.0,part_created,U611 E32S,Source,,
32,14.0,part_transferred_to_first_process,U611 E32S,Source,,
33,14.0,part_created,U611 E32P,Source,,
34,14.0,part_transferred_to_first_process,U611 E32P,Source,,
35,14.0,part_created,U611 A11C,Source,,
36,14.0,part_transferred_to_first_process,U611 A11C,Source,,
37,14.0,Process_entered,U611 E32S,HF010,,
38,14.0,routing_ended,U611 E32S,HF010,,
39,14.0,Process_entered,U611 E32P,HF010,,
40,14.0,routing_ended,U611 E32P,HF010,,
41,14.0,work_start,U611 E32S,HF010,HF010_0,
42,14.0,Process_entered,U611 A11C,HF010,,
43,14.0,routing_ended,U611 A11C,HF010,,
44,15.0,work_finish,U611 E32S,HF010,HF010_0,
45,15.0,part_transferred_to_out_buffer,U611 E32S,HF010,HF010_0,
46,15.0,work_start,U611 E32P,HF010,HF010_0,
47,16.0,part_created,U611 A22C,Source,,
48,16.0,part_transferred_to_first_process,U611 A22C,Source,,
49,16.0,work_finish,U611 E32P,HF010,HF010_0,
50,16.0,part_transferred_to_out_buffer,U611 E32P,HF010,HF010_0,
51,16.0,work_start,U611 A11C,HF010,HF010_0,
52,16.0,Process_entered,U611 A22C,HF010,,
53,16.0,routing_ended,U611 A22C,HF010,,
54,17.0,work_finish,U611 A11C,HF010,HF010_0,
55,17.0,part_transferred_to_out_buffer,U611 A11C,HF010,HF010_0,
56,17.0,work_start,U611 A22C,HF010,HF010_0,
57,18.0,work_finish,U611 A22C,HF010,HF010_0,
58,18.0,part_transferred_to_out_buffer,U611 A22C,HF010,HF010_0,
59,21.0,part_created,U611 E41S,Source,,
60,21.0,part_transferred_to_first_process,U611 E41S,Source,,
61,21.0,part_created,U611 E41P,Source,,
62,21.0,part_transferred_to_first_process,U611 E41P,Source,,
63,21.0,Process_entered,U611 E41S,HF010,,
64,21.0,routing_ended,U611 E41S,HF010,,
65,21.0,Process_entered,U611 E41P,HF010,,
66,21.0,routing_ended,U611 E41P,HF010,,
67,21.0,work_start,U611 E41S,HF010,HF010_0,
68,22.0,work_finish,U611 E41S,HF010,HF010_0,
69,22.0,part_transferred_to_out_buffer,U611 E41S,HF010,HF010_0,
70,22.0,work_start,U611 E41P,HF010,HF010_0,
71,23.0,part_created,U611 E21S,Source,,
72,23.0,part_transferred_to_first_process,U611 E21S,Source,,
73,23.0,part_created,U611 B12P,Source,,
74,23.0,part_transferred_to_first_process,U611 B12P,Source,,
75,23.0,part_created,U611 E42S,Source,,
76,23.0,part_transferred_to_first_process,U611 E42S,Source,,
77,23.0,part_created,U611 E42P,Source,,
78,23.0,part_transferred_to_first_process,U611 E42P,Source,,
79,23.0,part_created,U611 B12S,Source,,
80,23.0,part_transferred_to_first_process,U611 B12S,Source,,
81,23.0,part_created,U611 E21P,Source,,
82,23.0,part_transferred_to_first_process,U611 E21P,Source,,
83,23.0,work_finish,U611 E41P,HF010,HF010_0,
84,23.0,part_transferred_to_out_buffer,U611 E41P,HF010,HF010_0,
85,23.0,Process_entered,U611 E21S,HF010,,
86,23.0,routing_ended,U611 E21S,HF010,,
87,23.0,Process_entered,U611 B12P,HF010,,
88,23.0,routing_ended,U611 B12P,HF010,,
89,23.0,work_start,U611 E21S,HF010,HF010_0,
90,23.0,Process_entered,U611 E42S,HF010,,
91,23.0,routing_ended,U611 E42S,HF010,,
92,23.0,Process_entered,U611 E42P,HF010,,
93,23.0,routing_ended,U611 E42P,HF010,,
94,23.0,Process_entered,U611 B12S,HF010,,
95,23.0,routing_ended,U611 B12S,HF010,,
96,23.0,Process_entered,U611 E21P,HF010,,
97,23.0,routing_ended,U611 E21P,HF010,,
98,24.0,part_created,U611 B51S,Source,,
99,24.0,part_transferred_to_first_process,U611 B51S,Source,,
100,24.0,part_created,U611 E13C,Source,,
101,24.0,part_transferred_to_first_process,U611 E13C,Source,,
102,24.0,part_created,U611 E22S,Source,,
103,24.0,part_transferred_to_first_process,U611 E22S,Source,,
104,24.0,part_created,U611 B51P,Source,,
105,24.0,part_transferred_to_first_process,U611 B51P,Source,,
106,24.0,work_finish,U611 E21S,HF010,HF010_0,
107,24.0,part_transferred_to_out_buffer,U611 E21S,HF010,HF010_0,
108,24.0,work_start,U611 B12P,HF010,HF010_0,
109,24.0,Process_entered,U611 B51S,HF010,,
110,24.0,routing_ended,U611 B51S,HF010,,
111,24.0,Process_entered,U611 E13C,HF010,,
112,24.0,routing_ended,U611 E13C,HF010,,
113,24.0,Process_entered,U611 E22S,HF010,,
114,24.0,routing_ended,U611 E22S,HF010,,
115,24.0,Process_entered,U611 B51P,HF010,,
116,24.0,routing_ended,U611 B51P,HF010,,
117,25.0,part_created,U611 S13S,Source,,
118,25.0,part_transferred_to_first_process,U611 S13S,Source,,
119,25.0,part_created,U611 E22P,Source,,
120,25.0,part_transferred_to_first_process,U611 E22P,Source,,
121,25.0,work_finish,U611 B12P,HF010,HF010_0,
122,25.0,part_transferred_to_out_buffer,U611 B12P,HF010,HF010_0,
123,25.0,work_start,U611 E42S,HF010,HF010_0,
124,25.0,Process_entered,U611 S13S,HF010,,
125,25.0,routing_ended,U611 S13S,HF010,,
126,25.0,Process_entered,U611 E22P,HF010,,
127,25.0,routing_ended,U611 E22P,HF010,,
128,26.0,work_finish,U611 E42S,HF010,HF010_0,
129,26.0,part_transferred_to_out_buffer,U611 E42S,HF010,HF010_0,
130,26.0,work_start,U611 E42P,HF010,HF010_0,
131,27.0,work_finish,U611 E42P,HF010,HF010_0,
132,27.0,part_transferred_to_out_buffer,U611 E42P,HF010,HF010_0,
133,27.0,work_start,U611 B12S,HF010,HF010_0,
134,28.0,part_created,U611 S11S,Source,,
135,28.0,part_transferred_to_first_process,U611 S11S,Source,,
136,28.0,part_created,U611 S13P,Source,,
137,28.0,part_transferred_to_first_process,U611 S13P,Source,,
138,28.0,part_created,U611 S11P,Source,,
139,28.0,part_transferred_to_first_process,U611 S11P,Source,,
140,28.0,work_finish,U611 B12S,HF010,HF010_0,
141,28.0,part_transferred_to_out_buffer,U611 B12S,HF010,HF010_0,
142,28.0,work_start,U611 E21P,HF010,HF010_0,
143,28.0,Process_entered,U611 S11S,HF010,,
144,28.0,routing_ended,U611 S11S,HF010,,
145,28.0,Process_entered,U611 S13P,HF010,,
146,28.0,routing_ended,U611 S13P,HF010,,
147,28.0,Process_entered,U611 S11P,HF010,,
148,28.0,routing_ended,U611 S11P,HF010,,
149,29.0,part_created,U611 A21S,Source,,
150,29.0,part_transferred_to_first_process,U611 A21S,Source,,
151,29.0,part_created,U611 A21P,Source,,
152,29.0,part_transferred_to_first_process,U611 A21P,Source,,
153,29.0,work_finish,U611 E21P,HF010,HF010_0,
154,29.0,part_transferred_to_out_buffer,U611 E21P,HF010,HF010_0,
155,29.0,work_start,U611 B51S,HF010,HF010_0,
156,29.0,Process_entered,U611 A21S,HF010,,
157,29.0,routing_ended,U611 A21S,HF010,,
158,29.0,Process_entered,U611 A21P,HF010,,
159,29.0,routing_ended,U611 A21P,HF010,,
160,30.0,part_created,U611 E52S,Source,,
161,30.0,part_transferred_to_first_process,U611 E52S,Source,,
162,30.0,work_finish,U611 B51S,HF010,HF010_0,
163,30.0,part_transferred_to_out_buffer,U611 B51S,HF010,HF010_0,
164,30.0,work_start,U611 E13C,HF010,HF010_0,
165,30.0,Process_entered,U611 E52S,HF010,,
166,30.0,routing_ended,U611 E52S,HF010,,
167,31.0,part_created,U611 E23S,Source,,
168,31.0,part_transferred_to_first_process,U611 E23S,Source,,
169,31.0,part_created,U611 E51S,Source,,
170,31.0,part_transferred_to_first_process,U611 E51S,Source,,
171,31.0,part_created,U611 E52P,Source,,
172,31.0,part_transferred_to_first_process,U611 E52P,Source,,
173,31.0,part_created,U611 S14P,Source,,
174,31.0,part_transferred_to_first_process,U611 S14P,Source,,
175,31.0,part_created,U611 B14P,Source,,
176,31.0,part_transferred_to_first_process,U611 B14P,Source,,
177,31.0,part_created,U611 B14S,Source,,
178,31.0,part_transferred_to_first_process,U611 B14S,Source,,
179,31.0,work_finish,U611 E13C,HF010,HF010_0,
180,31.0,part_transferred_to_out_buffer,U611 E13C,HF010,HF010_0,
181,31.0,work_start,U611 E22S,HF010,HF010_0,
182,31.0,Process_entered,U611 E23S,HF010,,
183,31.0,routing_ended,U611 E23S,HF010,,
184,31.0,Process_entered,U611 E51S,HF010,,
185,31.0,routing_ended,U611 E51S,HF010,,
186,31.0,Process_entered,U611 E52P,HF010,,
187,31.0,routing_ended,U611 E52P,HF010,,
188,31.0,Process_entered,U611 S14P,HF010,,
189,31.0,routing_ended,U611 S14P,HF010,,
190,31.0,Process_entered,U611 B14P,HF010,,
191,31.0,routing_ended,U611 B14P,HF010,,
192,31.0,Process_entered,U611 B14S,HF010,,
193,31.0,routing_ended,U611 B14S,HF010,,
194,32.0,part_created,U611 E51P,Source,,
195,32.0,part_transferred_to_first_process,U611 E51P,Source,,
196,32.0,part_created,U611 S14S,Source,,
197,32.0,part_transferred_to_first_process,U611 S14S,Source,,
198,32.0,part_created,U611 S15P,Source,,
199,32.0,part_transferred_to_first_process,U611 S15P,Source,,
200,32.0,part_created,U611 E23P,Source,,
201,32.0,part_transferred_to_first_process,U611 E23P,Source,,
202,32.0,work_finish,U611 E22S,HF010,HF010_0,
203,32.0,part_transferred_to_out_buffer,U611 E22S,HF010,HF010_0,
204,32.0,work_start,U611 B51P,HF010,HF010_0,
205,32.0,Process_entered,U611 E51P,HF010,,
206,32.0,routing_ended,U611 E51P,HF010,,
207,32.0,Process_entered,U611 S14S,HF010,,
208,32.0,routing_ended,U611 S14S,HF010,,
209,32.0,Process_entered,U611 S15P,HF010,,
210,32.0,routing_ended,U611 S15P,HF010,,
211,32.0,Process_entered,U611 E23P,HF010,,
212,32.0,routing_ended,U611 E23P,HF010,,
213,33.0,work_finish,U611 B51P,HF010,HF010_0,
214,33.0,part_transferred_to_out_buffer,U611 B51P,HF010,HF010_0,
215,33.0,work_start,U611 S13S,HF010,HF010_0,
216,34.0,work_finish,U611 S13S,HF010,HF010_0,
217,34.0,part_transferred_to_out_buffer,U611 S13S,HF010,HF010_0,
218,34.0,work_start,U611 E22P,HF010,HF010_0,
219,35.0,part_created,U611 B15S,Source,,
220,35.0,part_transferred_to_first_process,U611 B15S,Source,,
221,35.0,part_created,U611 S15S,Source,,
222,35.0,part_transferred_to_first_process,U611 S15S,Source,,
223,35.0,part_created,U611 B15P,Source,,
224,35.0,part_transferred_to_first_process,U611 B15P,Source,,
