,Time,Event,Part,Process,SubProcess,Resource,Reason
0,71.0,part_created,A0001_A11A0,,,,
1,71.0,part_created,A0001_E170A,,,,
2,71.0,tp_going_to_requesting_process,,,,TP_1,
3,71.0,tp_request,A0001_A11A0,2야드 대조립공장,,,
4,71.0,tp_going_to_next_process,A0001_A11A0,2야드 대조립공장,,TP_1,
5,71.0,Process_entered,A0001_E170A,대조립 1공장,,,
6,71.0,routing_ended,A0001_E170A,대조립 1공장,,,
7,71.0,work_start,A0001_E170A,대조립 1공장,대조립 1공장_0,,
8,71.02311166557199,tp_finished_transferred_to_next_process,A0001_A11A0,외부,,TP_1,
9,71.02311166557199,part_transferred_to_next_process_with_tp,A0001_A11A0,2야드 대조립공장,,,
10,71.02311166557199,Process_entered,A0001_A11A0,외부,,,
11,71.02311166557199,routing_ended,A0001_A11A0,외부,,,
12,71.02311166557199,work_start,A0001_A11A0,외부,외부_0,,
13,82.0,part_created,A0001_A41A0,,,,
14,82.0,part_created,A0001_H91A0,,,,
15,82.0,tp_going_to_requesting_process,,,,TP_2,
16,82.0,Process_entered,A0001_A41A0,외부,,,
17,82.0,routing_ended,A0001_A41A0,외부,,,
18,82.0,tp_request,A0001_H91A0,2야드 대조립공장,,,
19,82.0,tp_going_to_next_process,A0001_H91A0,2야드 대조립공장,,TP_2,
20,82.0,work_start,A0001_A41A0,외부,외부_1,,
21,82.02311166557199,tp_finished_transferred_to_next_process,A0001_H91A0,외부,,TP_2,
22,82.02311166557199,part_transferred_to_next_process_with_tp,A0001_H91A0,2야드 대조립공장,,,
23,82.02311166557199,Process_entered,A0001_H91A0,외부,,,
24,82.02311166557199,routing_ended,A0001_H91A0,외부,,,
25,82.02311166557199,work_start,A0001_H91A0,외부,외부_2,,
26,85.0,part_created,A0001_E317P,,,,
27,85.0,part_created,A0001_E317S,,,,
28,85.0,Process_entered,A0001_E317P,2야드 판넬공장,,,
29,85.0,routing_ended,A0001_E317P,2야드 판넬공장,,,
30,85.0,Process_entered,A0001_E317S,2야드 판넬공장,,,
31,85.0,routing_ended,A0001_E317S,2야드 판넬공장,,,
32,85.0,work_start,A0001_E317P,2야드 판넬공장,2야드 판넬공장_0,,
33,85.0,work_start,A0001_E317S,2야드 판넬공장,2야드 판넬공장_1,,
34,86.0,work_finish,A0001_E317P,2야드 판넬공장,2야드 판넬공장_0,,
35,86.0,Stock_in,A0001_E317P,Y6,,,
36,86.0,"part_transferred_to_out_buffer, step = 0",A0001_E317P,2야드 판넬공장,2야드 판넬공장_0,,
37,86.0,work_finish,A0001_E317S,2야드 판넬공장,2야드 판넬공장_1,,
38,86.0,Stock_in,A0001_E317S,Y6,,,
39,86.0,"part_transferred_to_out_buffer, step = 0",A0001_E317S,2야드 판넬공장,2야드 판넬공장_1,,
40,89.0,Stock_out,A0001_E317P,2야드 대조립공장,,,
41,89.0,Stock_out,A0001_E317S,2야드 대조립공장,,,
42,89.0,Process_entered,A0001_E317P,2야드 대조립공장,,,
43,89.0,routing_ended,A0001_E317P,2야드 대조립공장,,,
44,89.0,Process_entered,A0001_E317S,2야드 대조립공장,,,
45,89.0,routing_ended,A0001_E317S,2야드 대조립공장,,,
46,89.0,work_start,A0001_E317P,2야드 대조립공장,2야드 대조립공장_0,,
47,89.0,work_start,A0001_E317S,2야드 대조립공장,2야드 대조립공장_1,,
48,91.0,part_created,A0001_B51P0,,,,
49,91.0,part_created,A0001_B51S0,,,,
50,91.0,tp_going_to_requesting_process,,,,TP_3,
51,91.0,tp_going_to_requesting_process,,,,TP_4,
52,91.0,tp_request,A0001_B51P0,2야드 대조립공장,,,
53,91.0,tp_going_to_next_process,A0001_B51P0,2야드 대조립공장,,TP_3,
54,91.0,tp_request,A0001_B51S0,2야드 대조립공장,,,
55,91.0,tp_going_to_next_process,A0001_B51S0,2야드 대조립공장,,TP_4,
56,91.02311166557199,tp_finished_transferred_to_next_process,A0001_B51P0,외부,,TP_3,
57,91.02311166557199,part_transferred_to_next_process_with_tp,A0001_B51P0,2야드 대조립공장,,,
58,91.02311166557199,tp_finished_transferred_to_next_process,A0001_B51S0,외부,,TP_4,
